w_skill,w_experience,w_education,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3
0.1,0.4,0.5,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,1.0485184239708256
0.1,0.3,0.6,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,1.0937275642505069
0.1,0.2,0.7,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,1.138936704530188
0.7,0.1,0.2,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.7245377683877032
0.6,0.2,0.2,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.7417925825836783
0.6,0.1,0.3,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.7522730543572098
0.5,0.3,0.2,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.7715058997599761
0.5,0.2,0.3,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.7852085678442563
0.5,0.1,0.4,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.801185308223196
0.4,0.4,0.2,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.814267121810394
0.4,0.3,0.3,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.8302438621893338
0.4,0.2,0.4,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.8462206025682736
0.4,0.1,0.5,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.8621973429472133
0.3,0.3,0.4,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.891255896913351
